hrsrelax,mntlhlth,hrs1,degree,grass
3.0,,45.0,GRADUATE,NOT LEGAL
2.0,0.0,12.0,HIGH SCHOOL,
,,,LT HIGH SCHOOL,LEGAL
5.0,4.0,30.0,HIGH SCHOOL,NOT LEGAL
1.0,0.0,30.0,LT HIGH SCHOOL,NOT LEGAL
,,,JUNIOR COLLEGE,
5.0,1.0,40.0,HIGH SCHOOL,LEGAL
18.0,0.0,15.0,HIGH SCHOOL,
4.0,0.0,40.0,HIGH SCHOOL,LEGAL
,,,BACHELOR,LEGAL
2.0,0.0,89.0,BACHELOR,
3.0,0.0,30.0,LT HIGH SCHOOL,NOT LEGAL
,,,BACHELOR,NOT LEGAL
2.0,20.0,40.0,LT HIGH SCHOOL,
8.0,0.0,40.0,LT HIGH SCHOOL,NOT LEGAL
4.0,2.0,50.0,GRADUATE,LEGAL
1.0,2.0,50.0,LT HIGH SCHOOL,LEGAL
14.0,0.0,32.0,LT HIGH SCHOOL,
6.0,1.0,40.0,HIGH SCHOOL,LEGAL
2.0,1.0,24.0,HIGH SCHOOL,
2.0,0.0,60.0,HIGH SCHOOL,NOT LEGAL
3.0,0.0,24.0,GRADUATE,
2.0,2.0,50.0,HIGH SCHOOL,
,,,HIGH SCHOOL,
12.0,0.0,20.0,HIGH SCHOOL,LEGAL
2.0,0.0,45.0,BACHELOR,
1.0,3.0,40.0,GRADUATE,LEGAL
,,,HIGH SCHOOL,NOT LEGAL
,,,LT HIGH SCHOOL,NOT LEGAL
4.0,0.0,28.0,LT HIGH SCHOOL,NOT LEGAL
2.0,2.0,38.0,LT HIGH SCHOOL,
,,9.0,HIGH SCHOOL,LEGAL
3.0,0.0,25.0,GRADUATE,
2.0,0.0,40.0,BACHELOR,LEGAL
5.0,0.0,62.0,HIGH SCHOOL,
4.0,0.0,47.0,LT HIGH SCHOOL,
1.0,0.0,40.0,LT HIGH SCHOOL,
2.0,0.0,40.0,HIGH SCHOOL,LEGAL
2.0,14.0,40.0,HIGH SCHOOL,
0.0,0.0,37.0,HIGH SCHOOL,
,,,LT HIGH SCHOOL,NOT LEGAL
4.0,0.0,47.0,BACHELOR,
5.0,15.0,29.0,HIGH SCHOOL,NOT LEGAL
4.0,0.0,40.0,HIGH SCHOOL,LEGAL
2.0,5.0,25.0,GRADUATE,LEGAL
8.0,0.0,55.0,BACHELOR,NOT LEGAL
4.0,1.0,30.0,HIGH SCHOOL,NOT LEGAL
4.0,30.0,25.0,HIGH SCHOOL,LEGAL
,,,JUNIOR COLLEGE,NOT LEGAL
,,,HIGH SCHOOL,
,,,BACHELOR,
1.0,0.0,60.0,HIGH SCHOOL,LEGAL
4.0,0.0,44.0,GRADUATE,NOT LEGAL
6.0,0.0,38.0,HIGH SCHOOL,LEGAL
5.0,0.0,50.0,HIGH SCHOOL,LEGAL
4.0,0.0,60.0,GRADUATE,
1.0,14.0,75.0,HIGH SCHOOL,NOT LEGAL
,,,JUNIOR COLLEGE,
2.0,0.0,27.0,HIGH SCHOOL,NOT LEGAL
1.0,0.0,40.0,LT HIGH SCHOOL,LEGAL
5.0,0.0,50.0,BACHELOR,
,,,BACHELOR,LEGAL
8.0,3.0,45.0,GRADUATE,
5.0,4.0,30.0,JUNIOR COLLEGE,NOT LEGAL
3.0,5.0,,GRADUATE,LEGAL
8.0,29.0,45.0,HIGH SCHOOL,LEGAL
1.0,2.0,52.0,HIGH SCHOOL,LEGAL
4.0,0.0,72.0,BACHELOR,
5.0,0.0,40.0,BACHELOR,NOT LEGAL
4.0,2.0,50.0,BACHELOR,LEGAL
1.0,3.0,45.0,BACHELOR,LEGAL
2.0,4.0,52.0,JUNIOR COLLEGE,NOT LEGAL
3.0,10.0,70.0,BACHELOR,LEGAL
4.0,0.0,40.0,HIGH SCHOOL,
6.0,0.0,20.0,GRADUATE,LEGAL
5.0,0.0,40.0,GRADUATE,LEGAL
3.0,0.0,60.0,BACHELOR,NOT LEGAL
,,,GRADUATE,
,,,GRADUATE,NOT LEGAL
8.0,0.0,50.0,HIGH SCHOOL,LEGAL
2.0,0.0,40.0,BACHELOR,NOT LEGAL
,,,HIGH SCHOOL,
4.0,0.0,9.0,GRADUATE,LEGAL
,,,GRADUATE,
,,,LT HIGH SCHOOL,NOT LEGAL
0.0,0.0,40.0,HIGH SCHOOL,
7.0,1.0,40.0,HIGH SCHOOL,
,,,HIGH SCHOOL,
4.0,0.0,30.0,HIGH SCHOOL,LEGAL
2.0,14.0,25.0,BACHELOR,LEGAL
3.0,0.0,40.0,BACHELOR,
,,,BACHELOR,
,,,LT HIGH SCHOOL,NOT LEGAL
5.0,0.0,25.0,LT HIGH SCHOOL,NOT LEGAL
,,,HIGH SCHOOL,
,,,LT HIGH SCHOOL,NOT LEGAL
5.0,0.0,37.0,GRADUATE,LEGAL
,,,HIGH SCHOOL,
,,,GRADUATE,NOT LEGAL
5.0,2.0,45.0,BACHELOR,NOT LEGAL
,,,HIGH SCHOOL,LEGAL
1.0,0.0,64.0,GRADUATE,
3.0,4.0,33.0,BACHELOR,
0.0,7.0,30.0,BACHELOR,LEGAL
,,,BACHELOR,
0.0,5.0,40.0,HIGH SCHOOL,
,,,HIGH SCHOOL,
,,,BACHELOR,
,,,BACHELOR,LEGAL
7.0,0.0,9.0,BACHELOR,LEGAL
3.0,0.0,72.0,GRADUATE,
4.0,0.0,16.0,BACHELOR,LEGAL
3.0,0.0,60.0,HIGH SCHOOL,
,,,HIGH SCHOOL,NOT LEGAL
,,,HIGH SCHOOL,NOT LEGAL
4.0,0.0,41.0,BACHELOR,NOT LEGAL
,,,BACHELOR,NOT LEGAL
,,,HIGH SCHOOL,NOT LEGAL
,,,HIGH SCHOOL,NOT LEGAL
1.0,0.0,37.0,HIGH SCHOOL,
,,,LT HIGH SCHOOL,NOT LEGAL
2.0,5.0,50.0,HIGH SCHOOL,LEGAL
3.0,25.0,42.0,HIGH SCHOOL,LEGAL
2.0,0.0,30.0,BACHELOR,LEGAL
,,,BACHELOR,LEGAL
0.0,15.0,40.0,JUNIOR COLLEGE,LEGAL
4.0,0.0,20.0,HIGH SCHOOL,
1.0,14.0,40.0,BACHELOR,NOT LEGAL
2.0,0.0,40.0,HIGH SCHOOL,NOT LEGAL
,,,BACHELOR,
,,,HIGH SCHOOL,NOT LEGAL
,,,HIGH SCHOOL,NOT LEGAL
,,,HIGH SCHOOL,LEGAL
,,,HIGH SCHOOL,
1.0,3.0,40.0,BACHELOR,LEGAL
,,,HIGH SCHOOL,LEGAL
,,,HIGH SCHOOL,
,,,BACHELOR,NOT LEGAL
,,,GRADUATE,NOT LEGAL
3.0,0.0,54.0,JUNIOR COLLEGE,NOT LEGAL
2.0,2.0,35.0,GRADUATE,LEGAL
8.0,10.0,10.0,HIGH SCHOOL,NOT LEGAL
,,,LT HIGH SCHOOL,LEGAL
2.0,0.0,40.0,HIGH SCHOOL,LEGAL
1.0,2.0,38.0,HIGH SCHOOL,NOT LEGAL
3.0,0.0,60.0,HIGH SCHOOL,
6.0,0.0,8.0,GRADUATE,LEGAL
3.0,15.0,38.0,HIGH SCHOOL,NOT LEGAL
6.0,0.0,6.0,BACHELOR,
,,,BACHELOR,LEGAL
5.0,0.0,50.0,GRADUATE,LEGAL
5.0,0.0,45.0,GRADUATE,
5.0,5.0,48.0,BACHELOR,LEGAL
,,,BACHELOR,
4.0,0.0,46.0,BACHELOR,NOT LEGAL
3.0,3.0,45.0,BACHELOR,LEGAL
,,,HIGH SCHOOL,NOT LEGAL
3.0,0.0,40.0,LT HIGH SCHOOL,
7.0,9.0,16.0,HIGH SCHOOL,
8.0,0.0,40.0,BACHELOR,LEGAL
,,,BACHELOR,LEGAL
,,,BACHELOR,LEGAL
,,,BACHELOR,NOT LEGAL
6.0,0.0,32.0,BACHELOR,LEGAL
4.0,5.0,52.0,BACHELOR,
3.0,2.0,34.0,JUNIOR COLLEGE,NOT LEGAL
5.0,0.0,15.0,HIGH SCHOOL,
3.0,0.0,50.0,HIGH SCHOOL,NOT LEGAL
3.0,15.0,20.0,HIGH SCHOOL,
1.0,7.0,30.0,HIGH SCHOOL,
5.0,15.0,3.0,BACHELOR,LEGAL
,,,HIGH SCHOOL,LEGAL
,,,BACHELOR,
4.0,1.0,60.0,GRADUATE,LEGAL
3.0,0.0,40.0,BACHELOR,
,,,GRADUATE,LEGAL
,,,HIGH SCHOOL,LEGAL
,,,HIGH SCHOOL,LEGAL
1.0,15.0,40.0,HIGH SCHOOL,NOT LEGAL
,,,HIGH SCHOOL,
2.0,15.0,22.0,HIGH SCHOOL,LEGAL
5.0,0.0,45.0,HIGH SCHOOL,
2.0,0.0,50.0,HIGH SCHOOL,
,,,GRADUATE,
5.0,0.0,32.0,HIGH SCHOOL,LEGAL
,,,HIGH SCHOOL,LEGAL
4.0,5.0,40.0,HIGH SCHOOL,
2.0,0.0,25.0,LT HIGH SCHOOL,
2.0,25.0,30.0,HIGH SCHOOL,
,,,HIGH SCHOOL,LEGAL
,,,HIGH SCHOOL,
,,,GRADUATE,LEGAL
3.0,2.0,40.0,BACHELOR,LEGAL
,,,JUNIOR COLLEGE,LEGAL
3.0,0.0,42.0,BACHELOR,
2.0,0.0,48.0,LT HIGH SCHOOL,NOT LEGAL
6.0,0.0,20.0,LT HIGH SCHOOL,LEGAL
,,,BACHELOR,
,,,GRADUATE,NOT LEGAL
,,,LT HIGH SCHOOL,NOT LEGAL
,,,HIGH SCHOOL,NOT LEGAL
7.0,0.0,35.0,GRADUATE,
2.0,4.0,40.0,HIGH SCHOOL,LEGAL
,,,HIGH SCHOOL,NOT LEGAL
,,,BACHELOR,NOT LEGAL
4.0,30.0,40.0,HIGH SCHOOL,LEGAL
5.0,3.0,40.0,BACHELOR,
4.0,0.0,37.0,HIGH SCHOOL,LEGAL
4.0,0.0,40.0,HIGH SCHOOL,
3.0,0.0,40.0,HIGH SCHOOL,NOT LEGAL
5.0,0.0,44.0,JUNIOR COLLEGE,LEGAL
,,,HIGH SCHOOL,NOT LEGAL
,,,HIGH SCHOOL,
4.0,1.0,9.0,LT HIGH SCHOOL,NOT LEGAL
1.0,0.0,40.0,HIGH SCHOOL,NOT LEGAL
,,,LT HIGH SCHOOL,
,,,HIGH SCHOOL,LEGAL
,,,HIGH SCHOOL,LEGAL
,,,HIGH SCHOOL,
2.0,0.0,40.0,HIGH SCHOOL,NOT LEGAL
8.0,1.0,51.0,HIGH SCHOOL,
8.0,0.0,20.0,HIGH SCHOOL,NOT LEGAL
,,,BACHELOR,NOT LEGAL
1.0,15.0,50.0,HIGH SCHOOL,
,,,HIGH SCHOOL,LEGAL
4.0,0.0,50.0,BACHELOR,NOT LEGAL
,,,HIGH SCHOOL,
12.0,2.0,40.0,GRADUATE,LEGAL
3.0,0.0,42.0,LT HIGH SCHOOL,LEGAL
,,,HIGH SCHOOL,
1.0,21.0,40.0,LT HIGH SCHOOL,
7.0,0.0,20.0,GRADUATE,LEGAL
8.0,30.0,11.0,HIGH SCHOOL,
,,48.0,BACHELOR,
2.0,6.0,60.0,HIGH SCHOOL,NOT LEGAL
,,,GRADUATE,LEGAL
2.0,15.0,50.0,JUNIOR COLLEGE,LEGAL
,,,HIGH SCHOOL,LEGAL
,,,GRADUATE,LEGAL
3.0,0.0,50.0,BACHELOR,
,,,LT HIGH SCHOOL,LEGAL
8.0,0.0,35.0,GRADUATE,
2.0,0.0,55.0,HIGH SCHOOL,LEGAL
,,,LT HIGH SCHOOL,NOT LEGAL
3.0,10.0,70.0,HIGH SCHOOL,
1.0,5.0,52.0,BACHELOR,LEGAL
,,,HIGH SCHOOL,
,,,HIGH SCHOOL,LEGAL
6.0,0.0,40.0,HIGH SCHOOL,NOT LEGAL
,,,BACHELOR,
,,,JUNIOR COLLEGE,
3.0,14.0,40.0,HIGH SCHOOL,NOT LEGAL
,,,HIGH SCHOOL,NOT LEGAL
,,,JUNIOR COLLEGE,NOT LEGAL
,,,HIGH SCHOOL,LEGAL
4.0,0.0,40.0,HIGH SCHOOL,
4.0,0.0,40.0,HIGH SCHOOL,NOT LEGAL
,,5.0,LT HIGH SCHOOL,NOT LEGAL
6.0,0.0,40.0,LT HIGH SCHOOL,NOT LEGAL
2.0,0.0,40.0,HIGH SCHOOL,
3.0,3.0,30.0,HIGH SCHOOL,NOT LEGAL
,,,LT HIGH SCHOOL,
,,,HIGH SCHOOL,NOT LEGAL
,,,HIGH SCHOOL,LEGAL
1.0,30.0,60.0,HIGH SCHOOL,NOT LEGAL
4.0,0.0,40.0,BACHELOR,NOT LEGAL
0.0,30.0,40.0,HIGH SCHOOL,NOT LEGAL
,,,HIGH SCHOOL,
4.0,0.0,45.0,HIGH SCHOOL,NOT LEGAL
0.0,30.0,46.0,HIGH SCHOOL,
,,,GRADUATE,NOT LEGAL
5.0,0.0,38.0,HIGH SCHOOL,
3.0,10.0,9.0,LT HIGH SCHOOL,NOT LEGAL
2.0,5.0,40.0,HIGH SCHOOL,
,,,HIGH SCHOOL,
2.0,0.0,40.0,HIGH SCHOOL,LEGAL
,,,HIGH SCHOOL,NOT LEGAL
2.0,0.0,45.0,BACHELOR,
3.0,2.0,42.0,HIGH SCHOOL,NOT LEGAL
3.0,6.0,27.0,JUNIOR COLLEGE,
2.0,30.0,40.0,HIGH SCHOOL,NOT LEGAL
3.0,0.0,20.0,JUNIOR COLLEGE,
,,,HIGH SCHOOL,
,,,HIGH SCHOOL,LEGAL
,,,HIGH SCHOOL,NOT LEGAL
,,,HIGH SCHOOL,
,,,HIGH SCHOOL,LEGAL
,,,HIGH SCHOOL,
,,,HIGH SCHOOL,LEGAL
,,,LT HIGH SCHOOL,LEGAL
7.0,0.0,45.0,HIGH SCHOOL,LEGAL
,,,HIGH SCHOOL,NOT LEGAL
,,,BACHELOR,NOT LEGAL
,,,JUNIOR COLLEGE,LEGAL
,,,HIGH SCHOOL,
3.0,0.0,65.0,BACHELOR,LEGAL
4.0,10.0,40.0,BACHELOR,
2.0,30.0,60.0,LT HIGH SCHOOL,LEGAL
4.0,30.0,30.0,LT HIGH SCHOOL,
8.0,20.0,38.0,HIGH SCHOOL,
1.0,0.0,40.0,HIGH SCHOOL,
5.0,7.0,67.0,HIGH SCHOOL,NOT LEGAL
,,,HIGH SCHOOL,LEGAL
,,,BACHELOR,LEGAL
2.0,2.0,32.0,LT HIGH SCHOOL,
,,,HIGH SCHOOL,LEGAL
4.0,0.0,39.0,HIGH SCHOOL,
4.0,0.0,8.0,HIGH SCHOOL,
,,,HIGH SCHOOL,NOT LEGAL
5.0,1.0,40.0,BACHELOR,NOT LEGAL
5.0,0.0,40.0,HIGH SCHOOL,
,,,HIGH SCHOOL,LEGAL
,,,BACHELOR,NOT LEGAL
5.0,0.0,40.0,HIGH SCHOOL,NOT LEGAL
,,,HIGH SCHOOL,LEGAL
,,,LT HIGH SCHOOL,NOT LEGAL
2.0,0.0,50.0,HIGH SCHOOL,
,,,HIGH SCHOOL,
4.0,,65.0,HIGH SCHOOL,NOT LEGAL
5.0,0.0,40.0,LT HIGH SCHOOL,LEGAL
,,,HIGH SCHOOL,
,,,HIGH SCHOOL,LEGAL
5.0,7.0,40.0,HIGH SCHOOL,
,,,HIGH SCHOOL,LEGAL
,,,HIGH SCHOOL,NOT LEGAL
1.0,7.0,9.0,HIGH SCHOOL,LEGAL
,,,BACHELOR,LEGAL
3.0,7.0,36.0,HIGH SCHOOL,LEGAL
,,,BACHELOR,LEGAL
3.0,0.0,44.0,GRADUATE,
4.0,0.0,30.0,BACHELOR,LEGAL
8.0,0.0,9.0,LT HIGH SCHOOL,NOT LEGAL
1.0,0.0,40.0,HIGH SCHOOL,
2.0,0.0,40.0,HIGH SCHOOL,
5.0,0.0,21.0,BACHELOR,
1.0,0.0,58.0,LT HIGH SCHOOL,NOT LEGAL
,,,HIGH SCHOOL,LEGAL
,,,LT HIGH SCHOOL,NOT LEGAL
2.0,0.0,30.0,LT HIGH SCHOOL,NOT LEGAL
3.0,5.0,40.0,BACHELOR,LEGAL
3.0,1.0,40.0,HIGH SCHOOL,
,,,BACHELOR,NOT LEGAL
6.0,3.0,38.0,GRADUATE,NOT LEGAL
3.0,1.0,40.0,BACHELOR,
2.0,0.0,50.0,GRADUATE,NOT LEGAL
1.0,0.0,40.0,GRADUATE,
1.0,3.0,40.0,GRADUATE,NOT LEGAL
2.0,1.0,10.0,BACHELOR,NOT LEGAL
10.0,30.0,9.0,HIGH SCHOOL,
,,,HIGH SCHOOL,LEGAL
4.0,1.0,50.0,HIGH SCHOOL,
5.0,2.0,55.0,GRADUATE,LEGAL
,,,BACHELOR,
6.0,0.0,40.0,HIGH SCHOOL,LEGAL
14.0,0.0,36.0,HIGH SCHOOL,
,,,HIGH SCHOOL,LEGAL
2.0,0.0,50.0,GRADUATE,NOT LEGAL
4.0,10.0,45.0,HIGH SCHOOL,LEGAL
,,,LT HIGH SCHOOL,LEGAL
0.0,20.0,22.0,HIGH SCHOOL,
5.0,3.0,40.0,GRADUATE,LEGAL
5.0,2.0,32.0,BACHELOR,
,,50.0,HIGH SCHOOL,LEGAL
2.0,,25.0,HIGH SCHOOL,NOT LEGAL
,,,LT HIGH SCHOOL,
3.0,1.0,48.0,HIGH SCHOOL,
1.0,10.0,89.0,HIGH SCHOOL,LEGAL
5.0,0.0,25.0,HIGH SCHOOL,NOT LEGAL
,,,HIGH SCHOOL,
,,,LT HIGH SCHOOL,NOT LEGAL
,,,HIGH SCHOOL,NOT LEGAL
2.0,0.0,55.0,JUNIOR COLLEGE,
1.0,3.0,43.0,HIGH SCHOOL,LEGAL
,,,LT HIGH SCHOOL,NOT LEGAL
,,,HIGH SCHOOL,LEGAL
,,,HIGH SCHOOL,LEGAL
1.0,0.0,40.0,HIGH SCHOOL,
,,,HIGH SCHOOL,NOT LEGAL
5.0,0.0,60.0,HIGH SCHOOL,NOT LEGAL
2.0,2.0,40.0,BACHELOR,NOT LEGAL
,,,BACHELOR,NOT LEGAL
5.0,0.0,60.0,BACHELOR,LEGAL
,,,HIGH SCHOOL,LEGAL
3.0,5.0,55.0,GRADUATE,LEGAL
0.0,5.0,40.0,HIGH SCHOOL,LEGAL
,,,BACHELOR,
,,,JUNIOR COLLEGE,LEGAL
5.0,0.0,54.0,GRADUATE,NOT LEGAL
,,,LT HIGH SCHOOL,
5.0,30.0,20.0,LT HIGH SCHOOL,NOT LEGAL
,,,LT HIGH SCHOOL,
4.0,0.0,50.0,HIGH SCHOOL,
,,,BACHELOR,NOT LEGAL
3.0,0.0,58.0,JUNIOR COLLEGE,
,,,HIGH SCHOOL,
,,,HIGH SCHOOL,
0.0,0.0,42.0,HIGH SCHOOL,LEGAL
,,,GRADUATE,LEGAL
5.0,0.0,40.0,BACHELOR,
3.0,0.0,50.0,BACHELOR,
,,,HIGH SCHOOL,LEGAL
,,,HIGH SCHOOL,NOT LEGAL
,,,GRADUATE,NOT LEGAL
3.0,0.0,32.0,BACHELOR,
5.0,0.0,70.0,LT HIGH SCHOOL,NOT LEGAL
1.0,2.0,40.0,HIGH SCHOOL,LEGAL
6.0,5.0,15.0,HIGH SCHOOL,NOT LEGAL
1.0,0.0,40.0,GRADUATE,LEGAL
,,,HIGH SCHOOL,
,,,HIGH SCHOOL,
0.0,0.0,45.0,BACHELOR,NOT LEGAL
,,,GRADUATE,LEGAL
4.0,0.0,40.0,HIGH SCHOOL,LEGAL
,,,JUNIOR COLLEGE,NOT LEGAL
,,,BACHELOR,
3.0,2.0,9.0,HIGH SCHOOL,NOT LEGAL
2.0,3.0,30.0,HIGH SCHOOL,LEGAL
,,,HIGH SCHOOL,LEGAL
2.0,2.0,40.0,GRADUATE,
5.0,2.0,40.0,BACHELOR,LEGAL
4.0,5.0,40.0,HIGH SCHOOL,LEGAL
2.0,4.0,9.0,JUNIOR COLLEGE,NOT LEGAL
4.0,3.0,48.0,HIGH SCHOOL,NOT LEGAL
,,,GRADUATE,
2.0,0.0,25.0,GRADUATE,
3.0,3.0,30.0,HIGH SCHOOL,
4.0,0.0,30.0,GRADUATE,NOT LEGAL
,,,BACHELOR,NOT LEGAL
,,,BACHELOR,
3.0,1.0,10.0,BACHELOR,
,,,HIGH SCHOOL,NOT LEGAL
1.0,0.0,40.0,BACHELOR,LEGAL
3.0,0.0,48.0,BACHELOR,
,,,LT HIGH SCHOOL,NOT LEGAL
,,,JUNIOR COLLEGE,
2.0,0.0,54.0,HIGH SCHOOL,LEGAL
2.0,5.0,50.0,GRADUATE,NOT LEGAL
5.0,0.0,45.0,HIGH SCHOOL,
5.0,0.0,40.0,BACHELOR,LEGAL
0.0,0.0,42.0,LT HIGH SCHOOL,NOT LEGAL
,,,HIGH SCHOOL,
3.0,2.0,42.0,BACHELOR,NOT LEGAL
6.0,0.0,40.0,LT HIGH SCHOOL,
,,,LT HIGH SCHOOL,NOT LEGAL
,,,HIGH SCHOOL,NOT LEGAL
,,,HIGH SCHOOL,
5.0,0.0,40.0,LT HIGH SCHOOL,LEGAL
,,,HIGH SCHOOL,
3.0,0.0,40.0,HIGH SCHOOL,LEGAL
7.0,30.0,6.0,LT HIGH SCHOOL,NOT LEGAL
,,,HIGH SCHOOL,NOT LEGAL
,,,HIGH SCHOOL,NOT LEGAL
5.0,0.0,40.0,HIGH SCHOOL,
,,,HIGH SCHOOL,NOT LEGAL
,,,BACHELOR,
,,,LT HIGH SCHOOL,LEGAL
3.0,7.0,60.0,HIGH SCHOOL,LEGAL
,,,HIGH SCHOOL,
14.0,15.0,4.0,HIGH SCHOOL,NOT LEGAL
4.0,0.0,30.0,GRADUATE,
,,,JUNIOR COLLEGE,NOT LEGAL
5.0,0.0,18.0,HIGH SCHOOL,
1.0,20.0,47.0,HIGH SCHOOL,NOT LEGAL
,,,HIGH SCHOOL,
,,,LT HIGH SCHOOL,LEGAL
1.0,0.0,40.0,HIGH SCHOOL,
,,,HIGH SCHOOL,NOT LEGAL
2.0,0.0,18.0,BACHELOR,NOT LEGAL
2.0,30.0,60.0,HIGH SCHOOL,LEGAL
4.0,5.0,45.0,HIGH SCHOOL,LEGAL
,,,HIGH SCHOOL,
3.0,3.0,70.0,JUNIOR COLLEGE,
,,,HIGH SCHOOL,NOT LEGAL
,,,HIGH SCHOOL,LEGAL
1.0,10.0,30.0,HIGH SCHOOL,LEGAL
