age,weight_kg,height_cm,sex,waist_cm,hip_cm,chest_cm
20,55.5,168.9,male,68.0,81.5,90.2
20,58.4,157.2,male,80.6,91.3,91.6
32,83.2,180.3,male,88.6,94.7,105.2
23,72.7,170.2,male,81.1,93.9,97.0
25,64.1,177.8,male,70.8,89.4,85.3
27,72.3,172.7,male,73.3,89.3,99.6
21,65.0,165.1,male,75.9,92.6,94.3
27,86.4,186.7,male,86.2,96.3,111.8
25,65.0,165.1,male,75.0,88.0,94.3
38,88.6,174.0,male,101.0,105.5,106.1
44,84.1,175.3,male,90.0,102.3,102.0
27,66.8,185.4,male,75.0,91.6,94.8
37,75.5,177.8,male,75.9,93.4,102.9
28,93.2,180.3,male,96.0,103.6,115.8
33,82.7,180.3,male,84.0,94.8,105.4
25,58.0,177.8,male,67.1,85.9,87.1
21,79.5,177.8,male,82.5,98.4,104.1
30,78.6,177.8,male,83.7,98.4,95.8
26,71.8,177.8,male,76.7,93.3,98.6
27,116.4,177.8,male,105.2,115.5,118.7
33,72.2,163.8,male,90.6,97.7,100.9
29,83.6,188.0,male,85.7,98.6,98.5
27,85.5,198.1,male,82.5,94.9,96.9
34,90.9,175.3,male,94.7,101.3,110.7
42,85.9,166.4,male,105.2,108.1,108.0
29,89.1,190.5,male,86.0,98.0,109.0
41,75.0,166.4,male,90.9,100.2,104.2
43,77.7,177.8,male,92.4,97.0,100.5
43,86.4,179.7,male,96.5,97.4,105.7
29,90.9,172.7,male,98.4,107.9,112.4
27,73.6,190.5,male,76.7,93.9,96.2
62,76.4,185.4,male,94.8,98.6,97.5
33,69.1,168.9,male,80.1,91.3,90.9
45,84.5,167.6,male,97.4,105.3,108.4
30,64.5,175.3,male,73.7,88.2,94.3
20,69.1,170.2,male,76.1,93.3,109.1
22,108.6,190.5,male,95.6,107.9,115.0
51,86.4,177.8,male,101.0,103.3,104.4
34,80.9,190.5,male,84.5,94.4,100.1
44,87.7,177.8,male,98.0,101.5,108.4
46,94.5,184.2,male,101.6,110.0,107.3
34,80.2,176.5,male,87.8,98.4,101.8
32,72.0,177.8,male,80.0,95.0,94.5
28,71.4,180.3,male,81.8,98.3,91.7
31,72.7,171.4,male,84.4,99.0,95.9
29,84.1,172.7,male,85.0,95.7,110.5
42,76.8,172.7,male,90.0,96.0,104.0
29,63.6,177.8,male,72.9,89.5,86.8
31,80.9,177.8,male,81.0,93.7,106.7
30,80.9,182.9,male,86.5,97.0,102.5
27,85.5,170.2,male,93.9,103.6,103.0
25,68.6,167.6,male,77.0,93.0,95.0
24,67.7,175.3,male,75.0,90.0,99.0
33,66.4,165.1,male,80.6,90.0,89.7
45,102.3,185.4,male,100.5,109.5,111.5
37,70.5,181.6,male,81.2,91.6,94.1
44,95.9,172.7,male,103.4,108.5,118.3
34,84.1,190.5,male,90.3,101.6,106.5
55,87.3,179.1,male,98.0,99.6,110.4
43,71.8,175.3,male,86.5,91.9,102.3
24,65.9,170.2,male,77.9,90.8,98.5
22,95.9,193.0,male,89.1,104.8,111.6
38,91.4,171.4,male,93.9,111.4,106.7
24,81.8,177.8,male,85.3,96.5,110.4
29,96.8,177.8,male,98.5,108.1,114.0
25,69.1,167.6,male,79.5,95.3,101.8
37,82.7,167.6,male,94.9,104.3,109.6
30,75.5,180.3,male,76.5,96.3,100.7
26,79.5,182.9,male,88.4,98.8,104.3
35,73.6,176.5,male,84.2,93.2,104.2
29,91.8,186.7,male,87.6,106.7,107.4
30,84.1,188.0,male,83.7,99.9,101.0
37,85.9,188.0,male,92.1,103.8,103.0
34,81.8,177.8,male,89.9,107.1,107.2
28,82.5,174.0,male,88.7,100.0,99.0
27,80.5,177.8,male,83.9,103.9,100.3
32,70.0,171.4,male,79.5,95.3,100.2
28,81.8,185.4,male,84.5,99.5,99.8
22,84.1,185.4,male,89.2,107.0,107.5
44,90.5,188.0,male,90.7,101.7,110.1
25,91.4,188.0,male,88.8,103.8,107.0
49,89.1,182.9,male,103.6,100.6,105.6
54,85.0,176.5,male,98.5,103.6,103.6
49,69.1,175.3,male,82.9,91.2,97.1
60,73.6,175.3,male,90.5,95.2,109.8
42,80.5,188.0,male,84.5,98.2,103.3
52,82.7,188.0,male,86.0,97.1,103.7
23,86.4,175.3,male,84.2,97.5,108.5
33,67.7,170.5,male,85.7,94.9,97.8
46,92.7,179.1,male,112.1,106.3,112.7
43,93.6,177.8,male,99.7,105.8,111.4
56,70.9,175.3,male,84.7,96.7,95.1
21,75.0,182.9,male,80.3,96.4,100.2
18,93.2,170.8,male,98.6,118.7,106.3
21,93.2,188.0,male,90.0,104.3,109.5
45,77.7,180.3,male,86.6,95.9,106.3
22,61.4,177.8,male,80.2,89.2,91.5
55,94.1,185.4,male,109.2,101.7,104.9
42,75.0,168.9,male,88.4,95.1,109.6
29,83.6,185.4,male,81.0,105.0,102.5
40,85.5,180.3,male,88.8,101.3,101.2
24,73.9,174.0,male,78.1,92.0,98.7
62,66.8,167.6,male,81.5,89.5,96.0
26,87.3,182.9,male,87.6,100.5,104.2
35,72.3,160.0,male,92.5,94.0,103.0
37,88.6,180.3,male,97.0,104.5,107.0
34,75.5,167.6,male,82.0,98.0,101.0
25,101.4,186.7,male,99.5,107.4,112.1
30,91.1,175.3,male,93.8,112.2,103.4
32,67.3,175.3,male,79.1,94.3,100.3
27,77.7,175.9,male,85.8,106.8,95.7
42,81.8,175.3,male,90.8,100.3,108.0
44,75.5,179.1,male,85.4,101.8,101.0
46,84.5,181.6,male,91.6,106.7,98.6
19,76.6,177.8,male,79.7,98.4,101.6
43,85.0,182.9,male,86.1,101.3,99.0
28,102.5,177.8,male,113.2,107.9,116.7
39,77.3,184.2,male,79.5,92.7,105.0
30,71.8,179.1,male,85.4,94.3,95.1
36,87.9,176.5,male,97.9,104.6,106.7
48,94.3,188.0,male,94.7,103.3,116.6
48,70.9,174.0,male,86.1,96.7,103.5
53,64.5,167.6,male,84.9,97.9,90.4
45,77.3,170.2,male,92.2,97.5,107.5
39,72.3,167.6,male,83.7,97.7,100.8
43,87.3,188.0,male,97.8,102.5,104.2
65,80.0,174.0,male,98.6,103.3,104.9
45,82.3,176.5,male,89.5,100.9,112.8
37,73.6,180.3,male,82.9,94.8,95.7
55,74.1,167.6,male,90.1,96.6,104.9
33,85.9,188.0,male,78.9,98.1,109.1
25,73.2,180.3,male,80.7,95.5,105.4
35,76.3,167.6,male,94.3,100.4,104.3
28,65.9,183.0,male,70.2,92.0,100.5
26,90.9,183.0,male,83.6,101.5,111.8
43,89.1,179.1,male,91.9,103.3,109.5
30,62.3,170.2,male,71.8,87.6,101.2
26,82.7,177.8,male,85.0,97.9,103.3
51,79.1,179.1,male,85.7,95.9,101.6
30,98.2,190.5,male,96.5,111.8,103.1
24,84.1,177.8,male,82.4,99.9,104.6
35,83.2,180.3,male,86.3,103.3,104.3
37,83.2,180.3,male,83.2,100.6,95.9
22,51.6,161.2,female,66.5,92.0,83.0
20,59.0,167.5,female,61.5,90.5,78.5
19,49.2,159.5,female,61.2,91.0,75.0
25,63.0,157.0,female,78.0,99.5,86.5
21,53.6,155.8,female,70.5,91.5,91.0
23,59.0,170.0,female,66.5,94.0,79.5
26,47.6,159.1,female,58.0,85.5,77.0
22,69.8,166.0,female,74.5,104.0,88.0
28,66.8,176.2,female,73.5,104.1,85.0
40,75.2,160.2,female,90.5,108.1,98.8
32,55.2,172.5,female,66.5,90.3,79.0
25,54.2,170.9,female,61.0,91.6,77.6
25,62.5,172.9,female,69.5,94.4,85.0
29,42.0,153.4,female,62.0,80.9,76.7
22,50.0,160.0,female,63.4,87.7,76.7
25,49.8,147.2,female,71.0,88.5,82.0
23,49.2,168.2,female,59.0,88.5,79.0
37,73.2,175.0,female,74.0,101.0,89.5
19,47.8,157.0,female,60.5,88.5,73.5
23,68.8,167.6,female,75.0,99.0,90.0
25,50.6,159.5,female,65.0,91.0,80.0
26,82.5,175.0,female,82.2,110.2,94.5
24,57.2,166.8,female,70.2,94.2,83.8
29,87.8,176.5,female,85.0,111.0,95.2
22,72.8,170.2,female,75.0,103.0,91.0
30,54.5,174.0,female,63.0,90.0,80.0
23,59.8,173.0,female,70.0,96.0,81.7
38,67.3,179.9,female,72.6,93.7,89.6
23,67.8,170.5,female,78.7,101.5,90.9
19,47.0,160.0,female,61.0,82.5,78.5
46,46.2,154.4,female,64.2,89.0,78.0
20,55.0,162.0,female,63.1,93.9,80.2
22,83.0,176.5,female,85.0,106.4,99.0
25,54.4,160.0,female,66.0,92.0,80.0
21,45.8,152.0,female,65.0,86.0,75.5
23,53.6,162.1,female,63.2,89.1,82.6
31,73.2,170.0,female,83.6,104.1,94.5
29,52.1,160.2,female,68.0,88.0,83.9
19,67.9,161.3,female,75.7,102.6,92.8
21,56.6,166.4,female,65.5,95.9,85.3
23,62.3,168.9,female,66.9,98.8,84.4
24,58.5,163.8,female,67.9,93.5,87.6
20,54.5,167.6,female,67.8,92.9,81.0
19,50.2,160.0,female,63.2,86.9,84.1
20,60.3,161.3,female,73.1,94.9,88.2
19,58.3,167.6,female,65.3,95.3,88.1
20,56.2,165.1,female,65.6,93.3,84.9
19,50.2,160.0,female,62.7,90.0,81.2
22,72.9,170.0,female,81.8,99.3,91.6
39,59.8,157.5,female,72.1,95.6,88.4
18,61.0,167.6,female,68.6,95.8,87.6
19,69.1,160.7,female,80.0,104.6,91.3
26,55.9,163.2,female,64.9,92.2,87.2
20,46.5,152.4,female,61.7,80.7,82.2
20,54.3,157.5,female,64.0,98.1,82.1
26,54.8,168.3,female,58.6,89.6,82.6
21,60.7,180.3,female,68.3,94.0,86.5
21,60.0,165.5,female,69.5,94.7,85.3
38,62.0,165.0,female,70.5,94.1,84.7
23,60.3,164.5,female,69.8,93.7,86.8
37,52.7,156.0,female,69.0,86.7,85.2
19,74.3,160.0,female,81.0,105.9,93.9
25,62.0,163.0,female,71.0,97.5,84.5
20,73.1,165.7,female,73.6,105.3,90.7
41,80.0,161.0,female,96.3,102.6,97.4
26,54.7,162.0,female,65.0,91.6,83.3
21,53.2,166.0,female,62.8,83.9,82.1
47,75.7,174.0,female,83.0,108.1,92.2
19,61.1,172.7,female,67.6,99.1,83.6
44,55.7,167.6,female,65.4,89.3,82.6
35,48.7,151.1,female,61.6,89.9,77.0
32,52.3,164.5,female,63.2,85.8,79.3
46,50.0,163.5,female,59.4,85.8,84.3
22,59.3,152.0,female,62.7,96.0,85.6
49,62.5,169.0,female,66.6,98.7,85.0
52,55.7,164.0,female,64.6,94.9,79.1
25,54.8,161.2,female,65.7,90.5,85.0
48,45.9,155.0,female,63.0,86.6,79.0
41,70.6,170.0,female,78.5,103.0,96.2
18,67.2,176.2,female,68.2,97.9,86.0
30,69.4,170.0,female,68.5,98.1,89.8
20,58.2,162.5,female,68.8,94.8,84.5
24,64.8,170.3,female,69.0,96.5,88.2
23,71.6,164.1,female,78.0,103.0,99.5
30,52.8,169.5,female,62.0,86.8,76.1
23,59.8,163.2,female,65.8,89.3,85.8
45,49.0,154.5,female,65.0,89.5,82.0
20,50.0,159.8,female,64.9,88.4,77.5
20,69.2,173.2,female,71.5,100.5,85.7
23,55.9,170.0,female,61.4,94.0,78.8
21,63.4,161.4,female,75.4,101.3,88.0
28,58.2,169.0,female,67.2,95.5,80.2
45,58.6,166.2,female,69.5,95.3,85.6
24,45.7,159.4,female,57.9,84.1,81.3
25,52.2,162.5,female,64.4,91.0,84.6
19,48.6,159.0,female,62.3,83.9,82.2
20,57.8,162.8,female,68.7,93.1,84.9
29,55.6,159.0,female,68.0,92.3,81.5
24,66.8,179.8,female,66.0,97.1,89.9
24,59.4,162.9,female,71.2,97.5,89.8
25,53.6,161.0,female,64.8,92.0,80.8
31,73.2,151.1,female,78.0,112.1,88.4
22,53.4,168.2,female,60.7,89.9,80.2
20,69.0,168.9,female,75.0,104.9,89.5
32,58.4,173.2,female,68.6,94.2,83.7
25,56.2,171.8,female,67.1,90.4,82.5
19,70.6,178.0,female,68.0,99.5,85.5
23,59.8,164.3,female,71.0,98.7,88.3
22,72.0,163.0,female,76.0,103.5,91.5
20,65.2,168.5,female,70.3,100.0,92.2
27,56.6,166.8,female,69.5,95.2,80.5
34,105.2,172.7,female,101.5,114.0,108.0
25,51.8,163.5,female,67.2,91.2,80.0
26,63.4,169.4,female,68.7,93.8,89.5
19,59.0,167.8,female,66.0,92.0,84.9
26,47.6,159.5,female,67.5,85.8,80.8
25,63.0,167.6,female,65.2,95.4,81.0
20,55.2,161.2,female,64.2,88.4,88.7
21,45.0,160.0,female,61.0,84.5,74.5
18,54.0,163.2,female,60.2,91.7,81.9
19,50.2,162.2,female,62.6,87.4,75.8
27,60.2,161.3,female,72.7,95.9,88.0
26,44.8,149.5,female,58.5,84.3,72.6
36,58.8,157.5,female,67.5,96.5,88.0
20,56.4,163.2,female,66.1,91.8,86.0
28,62.0,172.7,female,68.0,101.0,85.5
32,49.2,155.0,female,64.0,92.6,80.4
32,67.2,156.5,female,90.1,95.2,98.1
23,53.8,164.0,female,64.1,96.0,82.0
20,54.4,160.9,female,72.4,89.9,89.0
20,58.0,162.8,female,71.0,92.7,85.8
20,59.8,167.0,female,69.1,94.1,85.9
23,54.8,160.0,female,66.1,93.8,82.5
20,43.2,160.0,female,59.5,78.8,74.5
28,60.5,168.9,female,71.5,96.0,89.4
23,46.4,158.2,female,65.0,84.9,80.3
19,64.4,156.0,female,71.5,97.5,85.6
28,48.8,160.0,female,63.0,86.0,83.0
19,62.2,167.1,female,70.0,96.8,88.2
29,55.5,158.0,female,70.4,93.5,85.5
32,57.8,167.6,female,64.3,93.0,80.6
20,54.6,156.0,female,66.0,90.2,81.0
28,59.2,162.1,female,70.5,91.9,83.6
36,52.7,173.4,female,62.0,88.5,79.4
22,53.2,159.8,female,67.6,90.2,82.9
20,64.5,170.5,female,65.0,97.6,83.2
22,51.8,159.2,female,64.0,95.0,78.1
32,56.0,157.5,female,70.5,98.0,82.4
40,63.6,161.3,female,79.2,97.4,90.0
40,63.2,162.6,female,71.1,98.2,92.4
42,59.5,160.0,female,74.7,100.0,86.7
40,56.8,168.9,female,62.9,95.5,84.0
44,64.1,165.1,female,70.6,101.9,86.0
30,50.0,162.6,female,61.6,87.6,84.5
28,72.3,165.1,female,74.2,102.6,91.2
37,55.0,166.4,female,65.5,90.4,81.1
40,55.9,160.0,female,67.7,92.0,87.6
45,60.4,152.4,female,72.9,102.2,88.2
35,69.1,170.2,female,72.1,106.7,88.2
41,84.5,162.6,female,93.4,109.8,104.2
27,55.9,170.2,female,60.7,89.1,84.8
20,55.5,158.8,female,69.2,93.0,84.3
24,69.5,172.7,female,75.5,98.6,91.0
36,76.4,167.6,female,85.6,112.1,90.5
27,61.4,162.6,female,71.6,95.0,89.6
32,65.9,167.6,female,75.5,100.2,89.3
64,58.6,156.2,female,73.7,101.2,90.0
21,66.8,175.2,female,67.9,100.8,88.2
32,56.6,172.1,female,71.2,96.5,83.5
35,58.6,162.6,female,69.3,93.2,91.0
41,55.9,160.0,female,75.6,95.8,88.2
40,59.1,165.1,female,63.8,97.6,82.2
29,81.8,182.9,female,83.6,108.3,98.9
40,70.7,166.4,female,84.9,102.4,97.9
24,56.8,165.1,female,66.0,94.3,81.7
23,60.0,177.8,female,68.3,96.5,86.1
41,58.2,165.1,female,63.8,94.0,87.1
44,72.7,175.3,female,73.6,106.2,76.8
53,54.1,154.9,female,76.3,98.6,87.9
19,49.1,158.8,female,58.8,89.3,81.6
24,75.9,172.7,female,78.0,106.9,92.3
25,55.0,168.9,female,64.5,91.9,81.3
20,57.3,161.3,female,65.8,89.1,82.2
34,55.0,167.6,female,62.5,95.5,78.6
32,65.5,165.1,female,77.5,101.1,94.3
24,65.5,175.3,female,70.0,98.9,89.5
29,48.6,157.5,female,59.4,83.3,81.0
31,58.6,163.8,female,68.3,94.0,85.4
34,63.6,167.6,female,77.9,100.1,86.2
36,55.2,165.1,female,68.3,93.8,85.3
32,62.7,165.1,female,72.0,103.9,86.1
39,56.6,168.9,female,62.7,93.5,84.5
37,53.9,162.6,female,58.0,90.2,72.6
52,63.2,164.5,female,72.7,100.2,90.0
24,73.6,176.5,female,85.4,109.5,95.8
33,62.0,168.9,female,67.3,97.6,85.5
42,63.6,175.3,female,70.8,96.9,85.7
34,53.2,159.4,female,67.4,90.3,85.4
37,53.4,160.0,female,66.0,94.8,79.1
39,55.0,170.2,female,63.6,92.7,84.4
41,70.5,162.6,female,71.7,108.4,90.0
36,54.5,167.6,female,73.6,94.7,82.9
19,54.5,162.6,female,66.9,90.6,87.3
22,55.9,160.7,female,65.5,90.8,85.3
23,59.0,160.0,female,70.4,96.7,87.3
36,63.6,157.5,female,80.3,101.2,93.2
45,54.5,162.6,female,65.0,94.7,84.7
25,47.3,152.4,female,60.4,87.0,78.0
67,67.7,170.2,female,75.3,103.6,90.7
26,80.9,165.1,female,83.4,107.5,95.0
21,70.5,172.7,female,72.2,96.1,88.7
33,60.9,165.1,female,70.1,97.6,86.6
25,63.6,170.2,female,69.8,100.2,82.5
24,54.5,170.2,female,66.4,91.6,81.4
21,59.1,170.2,female,61.7,94.7,79.9
35,70.5,161.3,female,76.4,107.0,91.1
27,52.7,167.6,female,63.8,86.3,80.1
27,62.7,167.6,female,70.2,97.8,86.4
26,86.3,165.1,female,88.2,107.9,105.2
25,66.4,162.6,female,75.8,103.3,91.1
44,67.3,152.4,female,81.5,94.9,96.7
29,63.0,168.9,female,67.4,95.1,80.5
26,73.6,170.2,female,78.3,104.9,90.4
23,62.3,175.2,female,65.9,96.3,84.1
32,57.7,175.2,female,62.4,90.4,84.2
32,55.4,160.0,female,65.6,92.8,82.5
43,104.1,165.1,female,96.2,128.3,106.9
32,55.5,174.0,female,62.5,87.6,79.9
41,77.3,170.2,female,80.5,107.2,93.0
33,80.5,160.0,female,86.1,112.0,96.3
28,64.5,167.6,female,71.3,94.0,86.8
28,72.3,167.6,female,79.4,102.7,95.3
25,61.4,167.6,female,72.3,92.0,93.0
38,58.2,154.9,female,67.4,98.4,86.4
37,81.8,162.6,female,94.2,103.5,109.0
25,63.6,175.3,female,67.0,96.7,86.2
37,53.4,171.4,female,69.5,90.6,85.3
27,54.5,157.5,female,66.4,92.0,84.2
27,53.6,165.1,female,67.6,90.4,83.7
20,60.0,160.0,female,66.6,96.7,86.5
19,73.6,174.0,female,69.7,94.9,98.2
32,61.4,162.6,female,72.0,95.5,88.0
26,55.5,174.0,female,64.5,88.4,80.4
56,63.6,162.6,female,72.3,97.8,86.0
23,60.9,161.3,female,69.1,95.4,86.4
19,60.0,156.2,female,74.7,97.7,87.6
31,46.8,149.9,female,60.8,84.6,80.9
34,57.3,169.5,female,66.9,91.6,82.1
34,64.1,160.0,female,68.8,103.3,89.3
24,63.6,175.3,female,63.7,96.3,85.3
22,67.3,169.5,female,71.2,93.5,89.0
34,75.5,160.0,female,79.6,104.3,94.1
30,68.2,172.7,female,77.9,96.3,90.8
32,61.4,162.6,female,69.6,98.3,97.0
40,76.8,157.5,female,86.0,112.1,95.4
29,71.8,176.5,female,69.9,101.0,91.8
21,55.5,164.4,female,63.5,89.5,87.3
33,48.6,160.7,female,57.9,86.9,78.1
33,66.4,174.0,female,72.2,98.6,90.9
38,67.3,163.8,female,80.4,102.2,97.1
