age,gender,grade,height,weight,physically_active_7d,strength_training_7d,school_night_hours_sleep
18.0,male,12,1.73,56.7,0.0,1.0,6
18.0,male,12,1.88,99.79,3.0,7.0,7
18.0,male,12,1.78,58.97,0.0,0.0,<5
17.0,male,12,1.8,101.15,4.0,2.0,7
18.0,male,12,,,7.0,7.0,6
17.0,male,12,1.8,77.11,2.0,0.0,8
18.0,male,12,1.68,99.79,3.0,2.0,7
17.0,male,12,1.73,63.5,7.0,6.0,6
18.0,female,12,1.7,74.84,0.0,0.0,6
17.0,female,12,1.57,61.24,5.0,5.0,<5
17.0,female,12,1.65,49.9,4.0,7.0,7
18.0,female,12,1.63,56.7,6.0,4.0,7
18.0,female,12,1.68,59.42,5.0,5.0,7
18.0,female,12,1.57,54.43,0.0,0.0,5
18.0,female,12,1.57,90.72,3.0,0.0,6
18.0,female,12,1.7,67.13,7.0,7.0,5
18.0,female,12,1.57,45.36,7.0,7.0,<5
18.0,female,12,1.65,77.11,4.0,1.0,5
17.0,female,12,1.78,56.7,5.0,5.0,8
18.0,female,12,1.63,71.22,7.0,7.0,7
17.0,female,12,1.73,73.03,5.0,6.0,7
18.0,female,12,1.68,81.65,5.0,4.0,6
18.0,female,12,1.7,54.43,0.0,0.0,5
17.0,female,11,1.55,72.58,2.0,0.0,5
16.0,female,11,1.5,55.79,3.0,2.0,7
17.0,female,11,1.75,77.11,3.0,3.0,8
16.0,female,11,1.57,56.7,2.0,4.0,8
17.0,female,11,1.68,77.11,0.0,0.0,8
16.0,female,11,1.73,63.5,5.0,5.0,8
16.0,female,11,1.55,72.58,7.0,0.0,6
16.0,female,11,1.7,61.69,7.0,7.0,8
17.0,female,11,1.6,40.82,2.0,0.0,5
16.0,female,11,1.68,54.43,0.0,0.0,9
17.0,female,11,1.5,51.71,1.0,0.0,6
17.0,male,11,1.78,88.45,3.0,0.0,7
17.0,male,11,,,7.0,7.0,8
17.0,male,11,1.78,72.58,7.0,7.0,6
17.0,male,11,1.8,63.96,7.0,4.0,9
18.0,male,11,1.73,81.65,6.0,2.0,5
17.0,male,11,1.78,65.77,7.0,2.0,7
18.0,male,11,1.85,70.31,2.0,2.0,6
16.0,male,11,1.88,98.43,7.0,7.0,7
17.0,male,11,1.75,63.05,0.0,0.0,7
16.0,male,11,1.85,58.97,5.0,2.0,7
17.0,male,11,1.83,68.04,2.0,1.0,7
17.0,male,11,1.83,83.92,7.0,7.0,8
12.0,male,11,,,6.0,6.0,<5
16.0,female,10,1.63,57.15,7.0,0.0,8
16.0,female,10,1.55,53.52,0.0,0.0,7
15.0,female,10,,,0.0,2.0,10+
16.0,female,10,1.63,63.5,2.0,1.0,10+
15.0,female,10,1.68,61.69,1.0,0.0,10+
16.0,female,10,1.6,70.31,2.0,2.0,6
16.0,female,10,1.52,67.13,3.0,0.0,7
15.0,male,10,1.8,68.95,7.0,3.0,7
15.0,male,10,1.78,68.49,4.0,3.0,<5
16.0,male,10,1.7,72.58,7.0,4.0,7
17.0,male,11,1.88,74.84,,,
17.0,male,10,1.55,88.91,2.0,0.0,5
16.0,male,10,1.83,83.01,4.0,4.0,7
17.0,male,10,1.9,136.99,4.0,4.0,7
15.0,male,10,1.73,72.58,0.0,7.0,7
14.0,female,9,,,1.0,0.0,7
16.0,female,9,,,0.0,5.0,<5
15.0,female,9,1.35,53.07,0.0,1.0,10+
14.0,female,9,1.7,68.95,,,
15.0,female,9,,,2.0,4.0,7
15.0,female,9,1.8,88.45,0.0,1.0,7
16.0,female,9,1.73,68.95,7.0,0.0,7
15.0,female,9,1.65,82.56,3.0,0.0,8
15.0,female,9,1.68,81.65,4.0,0.0,7
14.0,female,9,1.45,43.55,4.0,5.0,5
16.0,female,10,1.55,48.08,0.0,5.0,7
15.0,female,9,1.57,48.99,0.0,0.0,6
14.0,female,9,1.57,58.97,5.0,5.0,7
15.0,female,9,1.6,56.7,2.0,0.0,6
15.0,female,9,1.68,52.16,2.0,4.0,5
15.0,male,9,1.68,45.81,2.0,5.0,7
15.0,male,9,1.68,63.05,7.0,4.0,9
14.0,male,9,1.68,70.31,2.0,0.0,7
15.0,male,9,1.73,74.84,6.0,3.0,7
16.0,male,9,1.73,60.78,0.0,0.0,5
15.0,male,9,1.65,52.16,4.0,0.0,5
14.0,male,9,1.63,54.43,0.0,0.0,6
15.0,male,9,1.68,63.5,7.0,7.0,6
15.0,female,9,1.57,122.02,5.0,3.0,8
15.0,female,9,1.65,77.57,0.0,0.0,8
15.0,female,9,1.57,70.31,1.0,0.0,8
15.0,female,9,1.6,63.5,4.0,0.0,7
15.0,female,9,,,7.0,3.0,10+
14.0,female,9,,,2.0,0.0,8
15.0,female,9,1.63,64.41,0.0,0.0,8
15.0,female,10,1.6,64.86,4.0,4.0,8
14.0,female,9,1.68,66.23,0.0,0.0,6
14.0,female,9,1.57,54.43,7.0,7.0,7
15.0,female,9,1.7,68.04,2.0,0.0,7
15.0,female,9,1.6,45.36,0.0,0.0,10+
15.0,female,9,1.55,56.7,3.0,2.0,9
15.0,female,9,1.55,51.71,7.0,1.0,7
15.0,female,9,1.57,62.6,0.0,0.0,<5
15.0,male,9,1.68,72.58,0.0,1.0,10+
14.0,male,9,1.85,76.2,7.0,7.0,8
15.0,male,9,1.73,72.58,5.0,5.0,9
15.0,male,9,1.73,61.24,7.0,7.0,6
17.0,male,10,1.73,83.92,4.0,1.0,6
15.0,male,9,1.68,46.27,3.0,1.0,6
16.0,male,9,1.7,84.37,0.0,0.0,5
15.0,male,9,1.73,99.79,7.0,5.0,9
16.0,male,9,1.68,111.13,4.0,5.0,7
15.0,male,10,1.98,106.6,7.0,7.0,7
16.0,male,10,1.93,102.06,5.0,5.0,8
15.0,male,10,1.65,61.24,6.0,3.0,7
16.0,male,10,1.73,65.77,7.0,7.0,6
16.0,male,10,1.65,56.7,0.0,0.0,<5
16.0,male,10,1.73,67.13,7.0,5.0,6
15.0,male,10,1.7,63.5,5.0,5.0,8
15.0,male,10,1.73,61.24,5.0,1.0,6
15.0,male,10,1.7,66.68,7.0,6.0,8
16.0,male,10,1.75,67.13,0.0,7.0,10+
16.0,male,10,1.9,92.99,7.0,6.0,7
15.0,female,10,1.73,72.58,3.0,3.0,5
15.0,female,10,1.7,66.68,7.0,7.0,8
16.0,female,10,1.68,83.92,0.0,0.0,6
16.0,female,10,1.57,60.78,6.0,0.0,7
16.0,female,10,1.68,50.8,4.0,7.0,7
15.0,female,10,1.73,67.13,1.0,1.0,6
15.0,female,10,1.6,51.71,4.0,0.0,7
16.0,female,10,1.65,83.92,7.0,7.0,7
15.0,female,10,1.6,47.63,2.0,0.0,7
15.0,female,10,1.63,52.16,0.0,0.0,7
16.0,female,10,1.6,47.63,0.0,2.0,9
16.0,female,10,1.63,70.31,7.0,7.0,7
16.0,female,10,1.68,52.16,7.0,0.0,6
16.0,female,10,1.65,65.77,0.0,0.0,5
16.0,female,10,1.65,70.31,7.0,7.0,9
16.0,female,10,1.65,69.4,0.0,0.0,8
16.0,female,10,1.6,59.88,1.0,1.0,7
15.0,female,10,1.57,82.56,1.0,0.0,5
16.0,male,9,1.75,79.38,7.0,3.0,7
15.0,female,10,1.68,86.64,2.0,0.0,6
17.0,female,11,1.63,59.88,1.0,2.0,8
16.0,female,11,1.85,45.81,3.0,3.0,7
16.0,female,11,1.55,57.15,1.0,1.0,6
16.0,female,11,1.5,59.88,5.0,4.0,<5
17.0,female,11,1.6,63.05,3.0,1.0,6
17.0,female,11,,,2.0,0.0,7
16.0,female,11,1.6,50.8,7.0,3.0,6
17.0,female,11,1.65,89.81,1.0,1.0,7
18.0,female,12,1.6,53.52,2.0,3.0,7
16.0,female,11,1.7,70.76,4.0,1.0,6
17.0,female,11,1.68,58.97,2.0,2.0,8
17.0,female,11,1.57,68.04,3.0,0.0,
18.0,male,12,1.65,79.83,7.0,2.0,6
16.0,male,12,1.57,56.7,2.0,2.0,9
17.0,male,11,1.7,53.98,2.0,5.0,8
17.0,male,11,1.73,86.18,7.0,3.0,7
17.0,male,11,1.83,81.65,0.0,0.0,10+
16.0,male,11,1.75,69.85,4.0,3.0,8
17.0,male,11,1.8,79.38,1.0,2.0,8
16.0,male,11,1.9,70.31,5.0,5.0,6
17.0,male,11,1.83,79.38,7.0,6.0,9
16.0,male,10,1.63,63.96,7.0,7.0,8
16.0,male,10,1.68,58.97,6.0,0.0,7
16.0,male,10,1.75,63.5,0.0,1.0,7
16.0,male,10,,,0.0,0.0,7
16.0,male,10,1.78,68.04,5.0,6.0,6
16.0,female,10,1.55,46.72,2.0,2.0,<5
16.0,female,10,1.57,63.5,2.0,0.0,6
16.0,female,10,1.75,73.94,5.0,2.0,
15.0,female,10,1.8,68.04,5.0,7.0,8
16.0,female,10,1.6,47.63,4.0,,5
16.0,female,10,1.65,58.97,7.0,5.0,6
16.0,female,10,1.57,63.05,3.0,3.0,5
16.0,female,10,1.63,45.81,7.0,5.0,6
16.0,female,10,1.73,92.08,0.0,0.0,6
15.0,female,10,1.63,52.16,0.0,0.0,10+
16.0,female,10,1.68,62.6,2.0,0.0,7
15.0,female,10,1.52,46.27,7.0,4.0,7
15.0,female,10,1.7,50.35,3.0,0.0,6
18.0,female,12,1.65,69.85,2.0,2.0,6
17.0,female,12,1.63,44.45,3.0,2.0,7
,female,,,,2.0,0.0,6
18.0,female,12,1.6,56.7,3.0,3.0,8
17.0,female,12,1.7,58.97,7.0,0.0,8
18.0,female,12,1.65,71.67,7.0,4.0,8
18.0,female,12,1.6,44.45,3.0,0.0,7
18.0,female,12,1.6,63.5,0.0,0.0,9
17.0,female,12,1.55,50.8,6.0,0.0,6
18.0,female,12,1.63,72.58,3.0,3.0,8
18.0,male,12,1.93,114.31,7.0,7.0,5
18.0,male,12,1.78,77.11,5.0,3.0,8
18.0,male,12,1.75,57.15,3.0,1.0,6
18.0,male,12,1.83,87.09,7.0,7.0,8
18.0,male,12,1.78,52.16,7.0,7.0,<5
18.0,male,12,1.78,106.14,3.0,1.0,7
18.0,male,12,1.96,108.86,7.0,7.0,8
17.0,male,12,1.7,92.99,0.0,0.0,5
18.0,male,12,1.88,70.31,7.0,0.0,5
18.0,male,12,1.85,90.72,2.0,0.0,7
17.0,male,12,1.8,74.84,5.0,5.0,8
18.0,male,12,1.83,75.3,3.0,1.0,8
18.0,male,12,,,7.0,4.0,9
17.0,male,12,1.85,61.24,0.0,1.0,7
15.0,male,9,1.55,65.77,1.0,0.0,6
15.0,male,9,1.75,61.69,3.0,4.0,8
15.0,male,9,1.83,59.88,1.0,0.0,7
15.0,male,9,1.78,49.9,7.0,7.0,7
15.0,male,9,1.7,63.96,7.0,2.0,8
16.0,male,9,1.7,71.22,7.0,7.0,8
15.0,male,9,1.8,68.04,5.0,5.0,8
16.0,male,9,1.65,64.86,0.0,0.0,9
15.0,female,9,,,0.0,0.0,
15.0,female,9,1.63,65.32,3.0,1.0,9
16.0,female,9,1.68,78.02,4.0,0.0,6
15.0,female,9,1.68,49.9,0.0,1.0,6
14.0,female,9,1.7,57.61,2.0,0.0,5
16.0,female,9,1.65,77.11,3.0,2.0,8
16.0,female,9,1.55,53.52,0.0,0.0,10+
15.0,female,9,1.63,52.16,3.0,2.0,9
15.0,female,9,1.6,52.62,6.0,3.0,<5
15.0,female,9,,,4.0,5.0,<5
14.0,female,9,1.55,54.43,5.0,3.0,8
14.0,female,9,,,0.0,0.0,<5
16.0,male,9,1.75,96.16,4.0,4.0,7
14.0,male,9,,,5.0,5.0,8
,female,,,,0.0,5.0,8
15.0,female,9,1.65,62.14,7.0,7.0,8
17.0,female,11,1.65,57.15,3.0,1.0,6
15.0,female,9,1.68,54.89,4.0,7.0,7
14.0,female,9,1.6,51.71,0.0,0.0,9
15.0,male,9,1.88,74.84,7.0,7.0,8
14.0,male,9,1.75,74.84,7.0,3.0,8
15.0,male,9,1.63,50.8,5.0,5.0,9
15.0,male,9,1.65,57.61,7.0,6.0,10+
14.0,male,9,,,7.0,3.0,8
14.0,male,9,1.75,58.97,7.0,7.0,6
15.0,male,9,1.75,65.77,7.0,5.0,8
15.0,male,9,1.8,58.97,4.0,0.0,5
15.0,male,9,,,7.0,0.0,<5
16.0,male,10,1.68,65.77,7.0,7.0,8
16.0,female,10,1.73,61.24,4.0,7.0,9
15.0,female,10,1.63,57.61,2.0,0.0,6
16.0,female,10,1.63,58.97,6.0,6.0,7
16.0,female,10,1.63,47.63,0.0,0.0,7
16.0,female,10,1.52,45.36,0.0,0.0,10+
16.0,female,10,1.57,46.72,4.0,4.0,7
17.0,female,10,1.65,41.73,4.0,0.0,8
15.0,female,10,1.57,56.7,3.0,3.0,5
16.0,female,10,1.68,65.77,3.0,1.0,7
16.0,female,10,1.68,74.84,5.0,5.0,9
15.0,female,10,1.5,47.63,0.0,0.0,8
16.0,female,10,1.55,45.36,3.0,0.0,6
16.0,female,10,1.52,74.84,0.0,0.0,7
,male,,,,7.0,7.0,8
16.0,male,10,1.75,81.65,7.0,7.0,8
16.0,male,10,1.75,65.77,7.0,7.0,7
16.0,male,10,1.73,95.26,7.0,7.0,7
15.0,male,10,1.8,72.58,7.0,3.0,8
16.0,male,10,1.73,65.77,7.0,5.0,8
15.0,male,10,1.88,106.6,0.0,0.0,8
15.0,male,10,1.78,97.52,7.0,5.0,6
16.0,male,10,1.73,64.41,7.0,0.0,8
16.0,male,11,1.68,56.7,7.0,7.0,8
15.0,male,10,1.7,71.22,5.0,1.0,7
16.0,male,10,1.78,74.39,7.0,7.0,7
16.0,male,10,1.73,81.65,3.0,6.0,8
16.0,male,10,1.9,65.32,7.0,7.0,9
16.0,male,10,1.7,61.24,3.0,3.0,8
16.0,male,10,1.75,61.24,7.0,7.0,8
16.0,male,10,1.65,68.95,5.0,5.0,8
15.0,male,10,1.7,57.15,4.0,3.0,5
16.0,male,10,1.9,77.11,7.0,5.0,7
17.0,male,10,1.75,53.07,7.0,7.0,8
15.0,male,10,1.8,73.03,5.0,4.0,8
15.0,male,10,1.78,77.57,0.0,0.0,9
16.0,male,10,1.65,54.43,7.0,7.0,8
16.0,male,10,1.83,65.77,7.0,1.0,7
18.0,female,12,1.55,58.97,0.0,0.0,6
17.0,female,12,1.55,81.65,0.0,0.0,6
17.0,female,12,1.57,49.9,0.0,0.0,8
18.0,female,12,1.65,52.16,7.0,7.0,8
17.0,female,12,,,1.0,0.0,8
18.0,female,12,1.63,83.46,3.0,0.0,8
18.0,female,12,1.68,99.79,4.0,0.0,6
17.0,female,12,1.68,86.18,4.0,3.0,<5
18.0,female,12,1.57,61.24,3.0,4.0,7
17.0,female,12,1.57,112.04,2.0,0.0,<5
18.0,male,12,1.78,65.77,5.0,0.0,6
18.0,male,12,1.73,65.77,5.0,3.0,8
17.0,male,12,1.88,156.04,1.0,0.0,7
18.0,male,12,1.78,66.23,7.0,7.0,7
18.0,male,12,1.73,95.26,2.0,5.0,7
17.0,male,12,1.78,72.58,5.0,0.0,5
17.0,male,12,1.83,95.26,2.0,0.0,8
17.0,male,12,1.7,68.04,7.0,7.0,
17.0,female,11,1.55,64.41,3.0,3.0,8
16.0,female,11,1.55,46.72,0.0,0.0,6
17.0,female,11,1.7,68.04,0.0,0.0,8
17.0,female,11,1.7,65.77,6.0,2.0,<5
17.0,female,11,1.6,54.43,7.0,7.0,7
16.0,female,11,1.68,57.61,0.0,0.0,7
17.0,female,11,1.7,60.78,7.0,7.0,<5
17.0,female,11,1.68,79.38,5.0,5.0,6
17.0,female,11,1.6,54.43,0.0,0.0,5
17.0,female,11,1.57,46.72,7.0,5.0,7
17.0,female,11,1.68,54.43,0.0,0.0,8
17.0,female,11,1.83,61.24,3.0,0.0,8
17.0,female,11,1.57,45.36,1.0,0.0,6
17.0,female,11,1.78,41.73,5.0,3.0,10+
17.0,female,11,1.65,65.77,0.0,0.0,8
18.0,female,11,1.5,48.54,2.0,0.0,8
16.0,female,11,1.6,58.51,3.0,1.0,8
18.0,male,11,1.73,79.38,5.0,4.0,8
17.0,male,11,1.75,74.84,7.0,7.0,7
17.0,male,11,1.78,105.69,7.0,5.0,8
16.0,male,11,1.68,68.04,7.0,7.0,8
17.0,male,11,1.75,90.72,7.0,7.0,7
16.0,male,11,1.63,85.73,1.0,0.0,<5
17.0,male,11,1.68,57.15,3.0,3.0,<5
17.0,male,11,1.83,127.01,7.0,5.0,10+
16.0,male,11,1.83,81.65,7.0,3.0,8
17.0,male,11,1.8,72.58,7.0,5.0,7
17.0,male,11,1.78,79.38,7.0,3.0,6
16.0,male,11,1.75,65.77,5.0,5.0,5
16.0,male,11,1.83,97.52,7.0,7.0,7
17.0,male,11,1.73,83.92,6.0,6.0,8
17.0,male,11,1.65,60.33,5.0,5.0,8
16.0,male,11,,,3.0,0.0,7
17.0,male,11,1.73,70.31,5.0,4.0,7
17.0,male,11,1.83,69.85,5.0,4.0,7
17.0,male,11,1.83,104.33,5.0,3.0,7
17.0,male,11,1.83,77.11,7.0,7.0,6
17.0,male,11,1.7,57.61,7.0,7.0,9
17.0,male,11,1.8,104.78,7.0,7.0,8
16.0,male,11,1.85,73.48,4.0,0.0,10+
17.0,male,11,1.75,128.37,0.0,,<5
17.0,male,11,1.73,68.04,7.0,7.0,9
16.0,male,11,,,7.0,0.0,7
17.0,male,11,1.9,74.84,4.0,3.0,7
17.0,female,11,1.6,52.16,1.0,3.0,7
17.0,female,11,1.5,44.45,3.0,3.0,6
17.0,female,12,1.65,74.84,0.0,2.0,6
17.0,female,11,1.6,56.7,7.0,7.0,8
16.0,female,11,1.55,58.97,3.0,2.0,6
17.0,female,11,1.55,55.79,5.0,4.0,6
17.0,female,12,1.52,52.62,2.0,2.0,5
17.0,female,12,1.5,61.24,0.0,1.0,6
17.0,female,12,1.73,72.58,1.0,1.0,7
18.0,female,12,1.55,55.79,3.0,0.0,6
17.0,male,11,1.57,77.11,5.0,2.0,7
16.0,male,11,1.75,50.35,3.0,1.0,7
16.0,male,11,1.68,62.14,2.0,0.0,7
17.0,male,11,1.85,95.26,4.0,1.0,5
18.0,male,11,1.65,63.5,5.0,3.0,5
17.0,male,11,1.85,63.5,7.0,0.0,7
16.0,male,11,1.85,73.48,4.0,5.0,8
18.0,male,12,1.65,61.24,4.0,7.0,7
17.0,male,11,1.8,74.84,7.0,7.0,5
16.0,male,11,1.73,61.69,3.0,1.0,8
17.0,male,12,1.8,65.77,4.0,3.0,7
15.0,female,9,1.68,58.06,5.0,5.0,5
14.0,female,9,1.65,53.98,6.0,3.0,9
14.0,female,9,1.55,59.88,7.0,0.0,6
14.0,female,9,1.55,54.89,7.0,1.0,6
17.0,female,11,1.78,102.06,5.0,5.0,6
14.0,female,9,1.6,67.59,6.0,5.0,<5
14.0,female,9,1.52,54.43,7.0,3.0,8
14.0,female,9,1.57,61.69,7.0,7.0,9
15.0,female,9,1.52,43.09,6.0,3.0,9
14.0,female,9,1.57,58.97,5.0,0.0,7
15.0,female,9,1.57,53.07,7.0,0.0,7
14.0,female,9,1.5,47.17,6.0,2.0,8
14.0,female,9,1.45,58.06,5.0,7.0,6
14.0,female,9,1.52,46.72,5.0,2.0,8
15.0,male,9,1.8,65.77,7.0,7.0,7
14.0,male,9,1.75,83.92,7.0,7.0,5
15.0,male,9,1.7,61.24,7.0,5.0,7
15.0,male,9,1.7,57.15,7.0,7.0,6
14.0,male,9,1.6,54.43,5.0,3.0,8
14.0,male,9,1.73,56.7,4.0,2.0,8
15.0,male,9,1.8,58.97,7.0,4.0,10+
14.0,male,9,1.68,55.34,7.0,4.0,8
14.0,male,9,1.73,79.38,2.0,1.0,9
15.0,male,9,1.63,43.09,5.0,6.0,7
14.0,male,9,1.65,54.43,5.0,5.0,9
14.0,male,9,1.7,68.04,5.0,5.0,8
15.0,male,9,1.75,68.95,5.0,3.0,7
15.0,male,9,1.73,54.89,7.0,4.0,8
14.0,male,9,1.7,57.61,4.0,3.0,7
14.0,male,9,1.65,53.07,4.0,2.0,9
14.0,male,9,1.75,82.56,7.0,4.0,6
14.0,male,9,1.6,45.81,6.0,3.0,7
14.0,male,9,1.78,54.43,5.0,0.0,8
15.0,male,9,1.7,77.11,7.0,7.0,6
15.0,male,9,1.63,76.2,6.0,2.0,6
16.0,female,10,1.65,49.9,5.0,3.0,7
15.0,female,10,1.57,70.76,0.0,2.0,8
15.0,female,10,1.68,54.43,7.0,1.0,7
15.0,female,10,1.6,55.79,5.0,0.0,6
17.0,female,12,1.57,54.43,2.0,2.0,8
16.0,female,10,1.63,65.77,4.0,4.0,6
16.0,female,10,1.65,48.08,7.0,6.0,5
17.0,female,11,1.65,54.43,0.0,0.0,8
16.0,female,10,1.55,69.4,3.0,4.0,6
16.0,female,11,1.6,55.79,2.0,2.0,5
16.0,female,10,1.68,63.96,2.0,1.0,7
18.0,female,12,1.55,51.26,4.0,4.0,6
16.0,female,10,1.57,61.24,7.0,7.0,8
17.0,male,11,1.88,95.26,7.0,5.0,<5
17.0,male,11,1.8,58.97,3.0,3.0,7
18.0,male,12,1.75,71.67,7.0,7.0,6
15.0,male,10,1.78,116.58,5.0,3.0,7
15.0,male,10,1.68,63.5,7.0,1.0,9
15.0,male,10,1.7,81.65,7.0,7.0,8
16.0,male,10,1.75,60.33,6.0,6.0,8
15.0,male,10,1.68,52.16,7.0,3.0,7
16.0,male,10,1.73,58.97,4.0,5.0,7
17.0,male,11,1.78,68.04,5.0,2.0,7
18.0,male,12,1.96,88.45,6.0,3.0,8
18.0,male,12,1.85,77.57,5.0,0.0,
16.0,male,10,1.83,66.68,5.0,3.0,9
15.0,male,10,1.63,65.77,3.0,3.0,6
15.0,male,10,1.65,61.24,3.0,0.0,7
16.0,male,10,1.7,54.43,7.0,7.0,10+
15.0,male,10,1.83,106.6,5.0,0.0,8
16.0,male,10,1.78,63.5,3.0,6.0,8
15.0,male,10,1.8,83.92,5.0,4.0,8
16.0,male,10,1.63,57.15,5.0,0.0,6
16.0,male,11,1.75,73.94,7.0,2.0,7
18.0,male,12,1.65,72.58,0.0,0.0,<5
17.0,female,12,1.63,49.44,2.0,0.0,6
18.0,female,12,1.47,49.9,1.0,2.0,6
